country,frequency_of_observation,measure,unit_of_measure,health_care_provider,asset_type,price_base,year,obs_value,base_per,unit_multiplier
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2007,4409.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2006,3120.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2005,2067.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2004,1405.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2003,603.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2002,443.0,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2001,310.0,,Millions
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2018,0.242,,Units
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2017,9666.477,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2016,7215.637,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2011,3235.44,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2010,3054.884,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2009,2616.641,,Millions
Türkiye,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2008,5420.0,,Millions
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2004,0.233,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2003,0.25,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2002,0.258,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2001,0.307,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2016,0.258,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2015,0.302,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2014,0.24,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2013,0.279,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2012,0.251,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2011,0.31,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2010,0.349,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2009,0.4,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2008,0.314,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2005,0.236,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2018,0.242,,Units
Israel,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2017,0.281,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2016,0.243,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2015,0.214,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2014,0.194,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2013,0.283,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2012,0.131,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2011,0.145,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2016,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2015,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2014,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2013,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2012,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2011,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2010,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2006,100.0,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Total,Not applicable,2018,100.0,,Units
Slovenia,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2004,4.037,,Millions
Slovenia,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2003,3.871,,Millions
Slovenia,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2006,4.977,,Millions
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2005,100.0,,Units
